name,code_number,article_number,manufacturer,description,price
"Бумага для заметок, с липким слоем, светло-голубая, разм.76х75 мм, 100 л.",A02178,I433802,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Голубой цвет. Размер 76х75 мм",19.4
"Бумага для заметок, с липким слоем, светло-розовая, разм.76х75 мм, 100 л.",A02180,I433804,INDEX,"Бумага с клеевым слоем, качественный клеевой слой. В блоке 100 листов. Розовый цвет. Размер 76х75 мм",19.4
"Бланк Приходный Кассовый Ордер КО-1, ф.А5, 100 л, газетка",A00963,КО-1,ФЕНИКС,"Формат А5, 100 л, газетная бумага",19.42
"Блокнот офисный для конференций, ф.А7, 40л, спираль, клетка, мел.картон. обложка, жесткая задняя час",A19628,IN0101-A740,INDEX,"Обложка - мелованный картон. Внутренний блок - офсет. Жесткая задняя часть обложки. Крепление - спираль. Клетка. Формат А7, 40 листов",19.67
"Бланк Расходный Кассовый Ордер А5, вертикальный, 100 л, газетка",A02782,КО-2/верт,ФЕНИКС,"Вертикальный. Формат А5, 100 л, газетная бумага",19.74
Термолента 44 ммх30x12 (A),A12491,ТЛ44Х30/K,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 44 мм, наружный диаметр ролика - 19 мм, внутренний диаметр втулки - 12 мм, длина намотки - 30 м.",20.69
"Подставка для бумажного блока, разм. 9х9х7 см, черная",C52351,SPB-997Bk,SPONSOR,Выполнена из пластика. Сетчатая поверхность. Цвет - черный. Размер 9х9х9 см,20.75
"Подставка для бумажного блока, разм. 9х9х7 см, серая",C52352,SPB-997Gy,SPONSOR,Выполнена из пластика. Сетчатая поверхность. Цвет - серый. Размер 9х9х9 см,20.75
"Блок-закладка с липким слоем, разм. 12х45 мм, пластиковые, 5 цветов по 20 листов",00-00044657,I468810,INDEX,"Блок-закладка с липким слоем, разм. 12х45 мм, пластиковые, 5 цветов по 20 листов",21.03
"Сейф-пакет курьерский, E4+ (295х400), полиэтиленовый 3-х сл., отрывная лента, (500шт/упк), цена за 1 шт",A29927,11024,Постак,"Изготовлен из трехслойного непрозрачного полиэтилена толщиной 70 мкм. Вид заклеивания - отрывная лента. Секьюрити клапан с индикацией о вскрытии, карман для вложений. В упаковке 500 штук. Размер 295х400 мм (Е4+)",21.4
"Бланк Расходный Кассовый Ордер А5, горизонтальный, 100 л, газетка",A01679,РКОгор,ФЕНИКС,"Горизонтальный. Формат А5, 100 л, газетная бумага",21.48
"Блокнот офисный для конференций, ф.А6, 40л, спираль, клетка, мел.картон. обложка, жесткая задняя час",A19631,IN0101-A640,INDEX,"Обложка - мелованный картон. Внутренний блок - офсет. Жесткая задняя часть обложки. Крепление - спираль. Клетка. Формат А6, 40 листов",21.75
"Папка для рисования ACTION! ИМПРЕССИОНИСТЫ, ф.А4,10л.",A30353,AFDS-4/10-1,Action!,"Папка для рисования ACTION! ИМПРЕССИОНИСТЫ, ф.А4,10л.",21.83
"Тетрадь SPONSOR, бумвинил, клетка, ф. А5, 48 листов",A19976,SN-48-5/5,SPONSOR,"Обложка - бумвинил. Внутренний блок - офсет плотностью 60 г/м2. Крепление - скрепка. Клетка. Формат А5, 48 листов",22.18
"Блокнот на спирали, клетка, пластик.обложка",A20283,SNPcl-6/40gn-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А6, цвет - зеленый",22.4
"Блокнот на спирали, клетка, пластик.обложка",A20284,SNPcl-6/40rd-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А6, цвет - красный",22.4
"Блокнот на спирали, клетка, пластик.обложка",A20282,SNPcl-6/40bu-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А6, цвет - синий",22.4
"Блокнот на спирали, клетка, пластик.обложка",A20265,SNPcl-6/40bk-1,SPONSOR,"Пластиковая обложка. Внутренний блок - офсет. Крепление - гребень. 40 листов. Формат А6, цвет - черный",22.4
"Пакеты Bubble Bong с воздушной подушкой, F/3, 240х350/220х340, беленый крафт, отрывная лента, 100гр/м2, (100шт/упк)",A29930,12219,Постак,"Изготовлены из беленого крафта плотностью 100 г/м2.  Полиэтиленовая воздушно-пузырьковая пленка внутри. Отрывная лента и термоплавкий клей на клапане с высокой силой склеивания. Используются для отправки бьющихся предметов, требующих надежной защиты от ударов, падений и другого небрежного обращения. Внешний размер 240х350, внутренний размер 220х340 мм",22.45
"Этикет-лента 21.5х12, прямоугольная, белая, 800 шт/рул",F00525,ЭТ22х12б,Новотрейд,"В рулоне. Прямоугольные этикетки. Цвет - белый. Размер 21,5х12 мм. 800 шт/рул",22.86
Термолента 44 ммх40х12(В),A17520,ТЛ44Х40,Новотрейд,"Изготовлена из термобумаги. Ширина ролика - 44 мм, наружный диаметр ролика - 27 мм, внутренний диаметр втулки - 12 мм, длина намотки - 40 м.",23.57
"Тетрадь ACTION! Шотландка, мелов. картон, клетка, ф. А5,  48 л., 4 дизайна",00-00006556,AN 4873/5,Action!,"Обложка - высококачественный целлюлозный мелованный картон  плотностью 200 г/м2, ВД-лак. Крепление - скрепка. Внутренний блок - офсет плотностью 60 г/м2. Формат А5. Клетка. 48 листов",23.83
"Тетрадь ACTION! ПРОВАНС, мелов. картон, клетка, вд-лак, ф. А5,  48 л., 4 дизайна",00-00027394,AN 4881/5,Action!,"Тетрадь ACTION! ПРОВАНС, мелов. картон, клетка, вд-лак, ф. А5,  48 л., 4 дизайна",23.83
"Тетрадь ACTION! ЗАМКИ, мел. картон, уф-лак, клетка, ф. А5,  48 л., 4 дизайна",00-00027401,AN 4885/5,Action!,"Тетрадь ACTION! ЗАМКИ, мел. картон, уф-лак, клетка, ф. А5,  48 л., 4 дизайна",24.28
"Тетрадь ACTION! АРХИТЕКТУРА, мел. картон, уф-лак, клетка, ф. А5,  48 л., 4 дизайна",00-00027398,AN 4886/5,Action!,"Тетрадь ACTION! АРХИТЕКТУРА, мел. картон, уф-лак, клетка, ф. А5,  48 л., 4 дизайна",24.28
"Этикет-лента 22х12, волнообразная., белая, 1000 шт/рул",F03813,ЭТ22х12вол/бел,Новотрейд,"В рулоне. Волнообразные этикетки. Цвет - белый. Размер 22х12 мм, 1000 шт/рул",24.55
"Блокнот INDEX, серия Office classic, синий, на гребне, ф. А5, ламиниров. обл., 40 л., (INDEX)",A16418,INLcl-5/40bu,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А5, 40 листов. Цвет - синий",25.16
"Блокнот INDEX, серия Office classic, черный, на гребне, ф. А5, ламиниров. обл., 40 л., (INDEX)",A16420,INLcl-5/40bl,INDEX,"Обложка - высококачественный целлюлозный мелованный картон плотностью 200 г/м2, ламинация. Внутрениий блок  - офсет  плотностью 60 г/м2. Крепление - гребень. Формат А5, 40 листов. Цвет - черный",25.16
